2013-12-03 16:10:48 startup archives install
2013-12-03 16:10:48 install base-files:amd64 <none> 6.12ubuntu4
2013-12-03 16:10:48 status half-installed base-files:amd64 6.12ubuntu4
2013-12-03 16:10:48 status unpacked base-files:amd64 6.12ubuntu4
2013-12-03 16:10:48 status unpacked base-files:amd64 6.12ubuntu4
2013-12-03 16:10:49 install base-passwd:amd64 <none> 3.5.26
2013-12-03 16:10:49 status half-installed base-passwd:amd64 3.5.26
2013-12-03 16:10:49 status unpacked base-passwd:amd64 3.5.26
2013-12-03 16:10:49 status unpacked base-passwd:amd64 3.5.26
2013-12-03 16:10:49 configure base-passwd:amd64 3.5.26 3.5.26
2013-12-03 16:10:49 status unpacked base-passwd:amd64 3.5.26
2013-12-03 16:10:49 status half-configured base-passwd:amd64 3.5.26
2013-12-03 16:10:49 status installed base-passwd:amd64 3.5.26
2013-12-03 16:10:49 configure base-files:amd64 6.12ubuntu4 6.12ubuntu4
2013-12-03 16:10:49 status unpacked base-files:amd64 6.12ubuntu4
2013-12-03 16:10:49 status unpacked base-files:amd64 6.12ubuntu4
2013-12-03 16:10:49 status unpacked base-files:amd64 6.12ubuntu4
2013-12-03 16:10:49 status unpacked base-files:amd64 6.12ubuntu4
2013-12-03 16:10:50 status unpacked base-files:amd64 6.12ubuntu4
2013-12-03 16:10:50 status unpacked base-files:amd64 6.12ubuntu4
2013-12-03 16:10:50 status unpacked base-files:amd64 6.12ubuntu4
2013-12-03 16:10:50 status unpacked base-files:amd64 6.12ubuntu4
2013-12-03 16:10:50 status unpacked base-files:amd64 6.12ubuntu4
2013-12-03 16:10:50 status unpacked base-files:amd64 6.12ubuntu4
2013-12-03 16:10:50 status unpacked base-files:amd64 6.12ubuntu4
2013-12-03 16:10:50 status unpacked base-files:amd64 6.12ubuntu4
2013-12-03 16:10:50 status half-configured base-files:amd64 6.12ubuntu4
2013-12-03 16:10:50 status installed base-files:amd64 6.12ubuntu4
2013-12-03 16:10:50 startup archives install
2013-12-03 16:10:51 upgrade dpkg 1.16.12ubuntu1 1.16.12ubuntu1
2013-12-03 16:10:51 status half-configured dpkg 1.16.12ubuntu1
2013-12-03 16:10:51 status unpacked dpkg 1.16.12ubuntu1
2013-12-03 16:10:51 status half-installed dpkg 1.16.12ubuntu1
2013-12-03 16:10:51 status half-installed dpkg 1.16.12ubuntu1
